Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1.454,0.19,238.7,6.0,0.0,1.0,18.0
0.08,0.0,238.24,0.2,0.0,0.0,1.0
3.834,0.118,243.35,15.6,39.0,0.0,18.0
2.06,0.352,238.85,8.6,0.0,2.0,28.0
1.052,0.072,240.48,4.4,0.0,0.0,1.0
0.344,0.216,239.82,1.6,0.0,0.0,0.0
0.232,0.124,240.14,1.0,0.0,0.0,0.0
0.976,0.138,241.81,4.0,0.0,0.0,0.0
0.632,0.054,240.76,2.6,0.0,0.0,0.0
1.078,0.102,236.16,6.0,0.0,0.0,0.0
1.276,0.158,240.87,6.4,0.0,0.0,8.0
0.322,0.0,245.92,1.4,0.0,0.0,1.0
1.69,0.152,243.21,7.0,1.0,0.0,19.0
2.468,0.09,236.3,10.4,2.0,1.0,0.0
0.796,0.05,233.37,3.4,1.0,0.0,1.0
0.298,0.078,245.4,1.2,0.0,0.0,0.0
1.554,0.142,242.19,6.4,0.0,0.0,18.0
0.518,0.204,241.51,2.2,0.0,1.0,1.0
0.27,0.208,239.85,1.4,0.0,2.0,0.0
2.004,0.164,239.11,8.4,0.0,0.0,17.0
0.14,0.0,242.75,0.6,0.0,0.0,1.0
0.254,0.15,244.54,1.2,0.0,1.0,1.0
0.25,0.0,249.33,1.0,0.0,0.0,1.0
0.358,0.08,239.94,1.6,0.0,1.0,0.0
0.414,0.096,240.38,1.8,0.0,0.0,0.0
1.362,0.0,239.73,5.6,0.0,0.0,18.0
2.952,0.298,239.69,12.4,1.0,36.0,0.0
1.776,0.096,240.62,7.4,2.0,0.0,19.0
1.618,0.162,243.69,6.6,0.0,0.0,0.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
0.29,0.14,241.67,1.4,0.0,1.0,0.0
3.312,0.0,239.35,13.8,0.0,0.0,17.0
0.302,0.084,237.11,1.4,0.0,0.0,0.0
0.42,0.108,241.57,1.8,0.0,0.0,1.0
0.694,0.326,241.31,3.2,0.0,1.0,0.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
0.08,0.0,239.1,0.2,0.0,0.0,1.0
0.08,0.0,240.13,0.2,0.0,0.0,1.0
2.44,0.0,239.86,10.2,0.0,0.0,17.0
1.944,0.148,243.7,8.0,0.0,0.0,1.0
0.212,0.048,245.1,0.8,0.0,0.0,0.0
0.196,0.096,237.43,0.8,0.0,1.0,0.0
2.15,0.054,240.08,8.8,1.0,0.0,18.0
0.34,0.05,241.21,1.4,0.0,1.0,0.0
0.308,0.05,243.66,1.2,0.0,0.0,0.0
0.328,0.14,244.48,1.4,0.0,0.0,0.0
1.566,0.064,236.64,6.6,0.0,0.0,17.0
3.428,0.084,239.11,14.2,0.0,0.0,0.0
0.19,0.0,242.32,0.8,0.0,0.0,0.0
1.548,0.254,238.98,6.6,0.0,0.0,1.0
0.23,0.146,244.45,1.0,0.0,0.0,1.0
0.398,0.22,241.37,1.8,0.0,0.0,0.0
1.3,0.0,239.76,5.4,0.0,0.0,0.0
2.292,0.218,242.42,9.4,0.0,1.0,0.0
0.13,0.0,240.19,0.6,0.0,0.0,0.0
2.32,0.06,241.71,9.6,0.0,0.0,18.0
1.504,0.258,242.11,6.2,0.0,1.0,19.0
3.008,0.362,236.55,12.8,0.0,0.0,18.0
0.292,0.222,239.6,1.4,0.0,0.0,0.0
3.764,0.07,235.08,16.0,0.0,36.0,16.0
0.676,0.0,242.91,2.8,0.0,0.0,1.0
1.35,0.05,242.87,5.4,0.0,0.0,19.0
1.35,0.06,238.15,5.6,0.0,0.0,17.0
2.874,0.0,240.93,11.8,0.0,0.0,18.0
1.304,0.048,241.85,5.4,0.0,0.0,18.0
1.464,0.06,238.72,6.2,0.0,0.0,17.0
1.418,0.06,240.36,5.8,0.0,0.0,19.0
1.434,0.0,239.6,6.0,0.0,1.0,19.0
0.17,0.0,241.48,0.8,0.0,0.0,0.0
0.232,0.0,245.07,1.0,0.0,0.0,0.0
0.34,0.054,243.72,1.4,0.0,0.0,0.0
1.596,0.332,238.25,6.8,0.0,2.0,17.0
0.124,0.0,240.45,0.4,0.0,0.0,1.0
0.222,0.048,243.38,1.0,0.0,0.0,0.0
0.252,0.132,239.69,1.2,0.0,0.0,0.0
0.83,0.146,243.54,3.4,0.0,0.0,12.0
0.874,0.28,242.51,3.8,0.0,0.0,11.0
0.384,0.266,239.51,2.0,0.0,2.0,0.0
1.322,0.058,244.59,5.4,0.0,0.0,18.0
0.288,0.122,241.12,1.4,0.0,0.0,0.0
0.27,0.054,249.19,1.2,0.0,0.0,0.0
0.48,0.158,248.13,2.2,1.0,0.0,0.0
1.526,0.0,238.13,6.4,1.0,0.0,17.0
1.67,0.324,240.28,7.0,0.0,2.0,17.0
1.0,0.17,244.02,4.2,0.0,0.0,12.0
1.668,0.178,236.95,7.0,0.0,0.0,18.0
0.14,0.0,243.05,0.6,0.0,0.0,1.0
1.614,0.08,238.15,6.8,0.0,0.0,17.0
0.222,0.0,238.16,1.0,0.0,0.0,0.0
0.428,0.14,242.42,1.8,0.0,0.0,1.0
1.578,0.09,242.92,6.6,0.0,0.0,18.0
0.22,0.0,243.33,0.8,0.0,0.0,0.0
1.212,0.136,249.01,4.8,0.0,2.0,1.0
1.598,0.078,238.51,6.8,1.0,0.0,18.0
0.406,0.226,242.1,1.8,0.0,0.0,0.0
1.262,0.066,239.65,5.2,0.0,0.0,17.0
0.368,0.24,244.83,1.8,0.0,0.0,0.0
1.868,0.078,242.89,7.6,0.0,0.0,18.0
0.604,0.12,235.98,2.6,0.0,1.0,1.0
2.24,0.104,233.0,10.0,0.0,0.0,17.0
1.686,0.0,240.72,7.0,0.0,0.0,18.0
0.43,0.202,245.17,1.8,0.0,0.0,0.0
0.32,0.088,243.01,1.4,0.0,1.0,1.0
0.206,0.0,244.03,0.8,0.0,0.0,0.0
2.538,0.244,236.5,10.8,0.0,0.0,18.0
1.18,0.062,231.72,5.0,0.0,0.0,17.0
1.834,0.0,245.97,7.4,0.0,0.0,18.0
0.242,0.12,237.94,1.0,0.0,0.0,1.0
0.142,0.056,241.59,0.6,0.0,0.0,1.0
0.374,0.084,243.1,1.6,0.0,0.0,1.0
0.6,0.0,234.29,2.6,0.0,0.0,0.0
0.412,0.214,242.55,1.8,0.0,0.0,1.0
1.544,0.294,237.66,6.6,0.0,1.0,18.0
0.302,0.0,240.99,1.4,0.0,0.0,0.0
0.336,0.214,242.4,1.8,0.0,0.0,0.0
0.322,0.106,244.23,1.4,0.0,0.0,0.0
0.238,0.0,240.51,1.0,0.0,0.0,0.0
1.406,0.0,237.41,5.8,0.0,0.0,0.0
1.444,0.394,240.76,6.2,0.0,0.0,1.0
0.312,0.104,241.41,1.2,0.0,2.0,0.0
1.494,0.358,233.57,6.4,0.0,1.0,16.0
0.326,0.0,240.51,1.4,0.0,0.0,0.0
0.838,0.208,241.62,3.6,0.0,0.0,12.0
1.288,0.068,237.86,5.4,0.0,0.0,17.0
0.148,0.0,240.3,0.6,0.0,0.0,0.0
0.288,0.124,242.23,1.2,0.0,0.0,0.0
0.328,0.088,241.54,1.4,0.0,0.0,0.0
1.504,0.206,242.82,6.2,0.0,1.0,18.0
2.394,0.406,240.9,10.4,0.0,27.0,0.0
2.8,0.082,240.28,11.6,0.0,0.0,18.0
2.696,0.292,243.84,11.2,0.0,1.0,12.0
0.226,0.06,249.2,1.0,0.0,0.0,0.0
1.05,0.114,241.55,4.8,0.0,0.0,13.0
0.444,0.0,240.65,2.2,0.0,0.0,0.0
0.31,0.0,238.21,1.4,0.0,0.0,1.0
0.156,0.0,241.42,0.6,0.0,0.0,0.0
0.324,0.09,243.78,1.4,0.0,0.0,0.0
1.444,0.0,237.62,6.0,0.0,0.0,17.0
0.296,0.0,240.03,1.2,0.0,0.0,1.0
0.446,0.0,240.61,1.8,1.0,0.0,0.0
0.316,0.11,241.43,1.4,0.0,0.0,0.0
0.316,0.208,239.85,1.6,0.0,2.0,1.0
0.258,0.114,240.74,1.2,0.0,0.0,1.0
0.436,0.118,242.75,1.8,0.0,0.0,1.0
0.482,0.25,243.13,2.2,0.0,1.0,1.0
2.77,0.072,236.46,11.6,0.0,0.0,18.0
0.388,0.1,245.59,1.6,0.0,0.0,0.0
1.486,0.072,239.62,6.2,0.0,2.0,18.0
1.92,0.192,241.99,8.0,0.0,1.0,1.0
1.71,0.0,240.3,7.2,0.0,0.0,18.0
0.248,0.046,242.65,1.0,0.0,0.0,0.0
2.2,0.054,241.45,9.0,1.0,4.0,18.0
1.8,0.054,240.36,7.4,0.0,0.0,18.0
1.544,0.112,244.69,6.2,0.0,0.0,0.0
0.264,0.0,242.36,1.0,0.0,0.0,0.0
2.134,0.516,240.13,9.0,0.0,1.0,19.0
2.452,0.288,237.71,10.8,6.0,0.0,17.0
1.364,0.082,239.65,5.6,0.0,0.0,18.0
2.414,0.214,236.65,10.2,0.0,0.0,17.0
0.676,0.0,242.44,2.8,0.0,0.0,0.0
2.844,0.174,239.15,11.8,0.0,0.0,0.0
0.586,0.118,242.05,2.4,0.0,0.0,1.0
0.178,0.154,241.97,0.8,0.0,0.0,0.0
1.618,0.516,239.05,7.4,0.0,1.0,0.0
0.518,0.092,244.2,2.0,0.0,1.0,1.0
1.324,0.0,240.43,5.4,0.0,0.0,18.0
0.21,0.094,237.09,1.0,0.0,0.0,0.0
0.252,0.0,248.15,1.0,0.0,0.0,1.0
0.392,0.224,244.42,1.8,0.0,0.0,0.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
0.29,0.102,242.99,1.2,0.0,1.0,0.0
0.486,0.236,239.02,2.4,0.0,0.0,0.0
1.452,0.28,237.68,6.2,0.0,1.0,17.0
2.446,0.626,241.93,10.4,0.0,0.0,12.0
3.496,0.148,235.24,14.8,0.0,0.0,17.0
3.616,0.102,240.33,15.0,0.0,0.0,18.0
1.264,0.18,233.6,5.4,0.0,1.0,17.0
0.32,0.102,238.31,1.4,0.0,0.0,0.0
1.796,0.052,245.43,7.2,0.0,0.0,19.0
0.22,0.136,241.97,1.0,0.0,1.0,0.0
0.138,0.0,240.49,0.6,0.0,0.0,1.0
1.624,0.186,238.89,6.8,0.0,1.0,18.0
1.414,0.154,237.68,6.0,0.0,0.0,18.0
0.39,0.084,243.16,1.6,0.0,0.0,0.0
2.164,0.252,236.18,9.2,0.0,0.0,0.0
1.676,0.106,239.08,7.0,0.0,0.0,18.0
0.248,0.112,240.74,1.2,0.0,1.0,1.0
1.1,0.05,240.85,4.6,0.0,0.0,1.0
1.67,0.078,242.98,6.8,0.0,0.0,18.0
0.218,0.094,244.58,1.0,0.0,0.0,1.0
0.234,0.0,241.98,1.0,0.0,0.0,1.0
0.234,0.096,242.15,1.0,0.0,1.0,0.0
0.33,0.084,243.83,1.4,0.0,0.0,0.0
0.436,0.046,245.06,2.0,0.0,0.0,0.0
0.186,0.0,241.12,0.8,0.0,0.0,1.0
1.402,0.136,241.98,5.8,0.0,0.0,18.0
0.382,0.208,245.91,1.8,0.0,0.0,0.0
1.456,0.0,243.63,5.8,0.0,0.0,19.0
2.778,0.07,238.39,11.6,0.0,0.0,18.0
0.526,0.05,239.09,2.2,0.0,0.0,0.0
0.99,0.344,243.59,4.2,0.0,0.0,12.0
3.244,0.502,238.82,13.6,1.0,0.0,17.0
2.624,0.08,232.4,11.2,0.0,0.0,17.0
0.574,0.186,239.72,2.8,0.0,2.0,7.0
0.274,0.0,246.48,1.2,0.0,0.0,0.0
0.234,0.0,243.78,1.0,0.0,0.0,1.0
1.83,0.0,247.4,7.6,0.0,8.0,1.0
3.002,0.05,235.1,13.0,0.0,1.0,18.0
1.16,0.0,240.06,4.8,0.0,0.0,17.0
0.438,0.222,243.29,2.0,0.0,2.0,1.0
1.474,0.0,232.71,6.4,0.0,0.0,17.0
1.688,0.066,240.22,7.0,0.0,0.0,18.0
5.33,0.0,236.51,22.6,37.0,0.0,18.0
1.686,0.17,242.29,7.0,0.0,1.0,18.0
0.774,0.132,242.25,3.2,0.0,0.0,11.0
0.26,0.124,241.93,1.2,0.0,0.0,1.0
1.414,0.094,239.52,5.8,0.0,0.0,19.0
0.402,0.136,246.09,1.8,0.0,0.0,0.0
2.996,0.064,237.85,12.6,0.0,0.0,0.0
0.446,0.272,243.51,2.0,0.0,0.0,0.0
0.274,0.0,244.08,1.0,0.0,0.0,1.0
0.688,0.062,242.48,2.8,0.0,1.0,0.0
0.32,0.208,237.72,1.6,0.0,0.0,1.0
0.606,0.172,242.34,2.8,0.0,1.0,0.0
3.9,0.19,238.58,16.4,0.0,1.0,18.0
1.236,0.22,241.6,5.8,0.0,0.0,0.0
1.628,0.084,241.99,6.6,0.0,0.0,19.0
0.344,0.198,242.33,1.6,0.0,0.0,1.0
2.506,0.162,236.05,10.6,0.0,0.0,17.0
0.154,0.0,241.24,0.8,0.0,0.0,0.0
1.904,0.108,236.58,8.0,0.0,1.0,17.0
0.21,0.0,242.63,0.8,0.0,0.0,1.0
0.224,0.0,244.29,1.0,0.0,0.0,0.0
0.328,0.0,247.75,1.4,0.0,1.0,0.0
0.4,0.0,243.79,1.6,0.0,0.0,1.0
0.268,0.052,240.7,1.2,0.0,0.0,0.0
0.312,0.148,239.49,1.6,0.0,1.0,1.0
0.366,0.094,241.22,1.6,0.0,0.0,0.0
1.742,0.164,240.23,7.2,0.0,2.0,18.0
1.536,0.076,239.38,6.4,0.0,2.0,17.0
1.568,0.24,243.75,6.4,0.0,1.0,19.0
1.49,0.208,240.5,6.2,0.0,0.0,18.0
0.17,0.142,241.66,0.8,0.0,1.0,1.0
1.448,0.094,242.54,6.0,0.0,0.0,18.0
0.53,0.152,246.76,2.2,0.0,0.0,0.0
0.138,0.0,240.37,0.6,0.0,0.0,1.0
1.484,0.108,243.27,6.0,0.0,0.0,19.0
1.204,0.478,242.19,5.4,0.0,1.0,7.0
0.5,0.21,243.71,2.2,1.0,1.0,1.0
1.012,0.0,236.83,4.2,0.0,0.0,0.0
1.364,0.058,241.51,5.6,0.0,0.0,17.0
0.378,0.082,236.42,1.6,0.0,0.0,0.0
1.35,0.216,238.83,5.6,0.0,0.0,18.0
0.218,0.11,240.08,1.0,0.0,0.0,0.0
2.542,0.218,240.14,10.6,0.0,1.0,19.0
0.274,0.0,244.97,1.2,0.0,0.0,1.0
1.306,0.0,238.49,5.4,0.0,0.0,18.0
0.442,0.208,242.99,2.0,0.0,0.0,1.0
0.24,0.0,245.88,1.0,0.0,0.0,1.0
0.176,0.0,242.86,0.8,0.0,0.0,0.0
0.22,0.0,244.82,1.0,0.0,0.0,0.0
0.314,0.104,243.63,1.4,0.0,0.0,0.0
3.83,0.09,237.66,16.0,37.0,0.0,1.0
1.424,0.152,243.46,5.8,0.0,0.0,18.0
0.218,0.13,239.36,1.0,0.0,2.0,1.0
0.464,0.234,242.06,2.2,0.0,1.0,1.0
1.26,0.0,244.09,5.2,0.0,0.0,0.0
0.266,0.0,245.38,1.0,0.0,0.0,0.0
0.506,0.196,242.3,2.2,0.0,2.0,1.0
2.056,0.088,242.64,8.4,0.0,1.0,19.0
0.542,0.246,243.08,2.6,0.0,1.0,0.0
3.208,0.564,238.41,13.6,39.0,1.0,1.0
3.518,0.106,239.05,14.6,38.0,2.0,18.0
0.5,0.102,245.02,2.2,0.0,0.0,0.0
1.338,0.086,239.57,5.6,0.0,1.0,18.0
0.758,0.0,242.54,3.0,0.0,0.0,1.0
0.102,0.0,236.69,0.4,0.0,0.0,0.0
0.288,0.092,242.67,1.2,0.0,0.0,0.0
0.366,0.13,243.25,1.6,0.0,0.0,0.0
0.222,0.122,242.13,1.0,0.0,1.0,0.0
0.486,0.246,242.38,2.2,0.0,1.0,1.0
0.402,0.132,243.76,1.8,0.0,1.0,1.0
1.504,0.526,242.16,6.6,1.0,10.0,1.0
0.134,0.0,239.99,0.6,0.0,0.0,1.0
0.494,0.102,243.62,2.2,0.0,1.0,0.0
1.534,0.09,235.59,6.4,0.0,0.0,17.0
0.274,0.232,240.99,1.4,0.0,0.0,0.0
1.13,0.0,247.11,4.8,0.0,0.0,0.0
0.356,0.078,240.76,1.6,0.0,0.0,0.0
0.432,0.2,241.81,2.0,0.0,1.0,0.0
0.414,0.0,240.57,1.8,0.0,0.0,1.0
2.54,0.102,240.68,10.4,38.0,0.0,1.0
1.302,0.096,238.18,5.4,0.0,0.0,19.0
2.278,0.228,237.56,9.6,0.0,0.0,17.0
0.284,0.09,241.87,1.2,0.0,0.0,1.0
0.414,0.134,247.26,1.8,0.0,0.0,1.0
0.218,0.104,233.13,1.0,0.0,0.0,0.0
0.432,0.242,245.7,2.0,0.0,1.0,1.0
1.476,0.104,244.21,6.0,0.0,0.0,18.0
0.182,0.104,241.59,0.8,0.0,0.0,0.0
0.266,0.0,246.15,1.0,0.0,0.0,0.0
0.328,0.078,243.81,1.4,0.0,0.0,0.0
0.24,0.11,241.25,1.0,0.0,1.0,1.0
1.306,0.054,239.27,5.4,0.0,0.0,18.0
0.166,0.078,233.67,0.8,0.0,0.0,0.0
0.218,0.108,240.46,1.0,0.0,1.0,0.0
0.612,0.0,243.8,3.2,0.0,0.0,0.0
1.63,0.234,242.87,6.8,0.0,0.0,19.0
0.35,0.122,245.74,1.4,0.0,2.0,1.0
2.276,0.1,239.45,9.4,0.0,0.0,17.0
0.42,0.0,243.18,1.8,0.0,1.0,0.0
0.278,0.06,245.27,1.2,0.0,0.0,1.0
0.226,0.0,241.84,0.8,0.0,0.0,0.0
1.292,0.062,240.01,5.4,0.0,0.0,19.0
0.252,0.0,245.06,1.0,0.0,0.0,1.0
0.408,0.194,241.25,1.8,0.0,0.0,1.0
1.404,0.098,240.41,5.8,0.0,0.0,18.0
0.386,0.098,240.34,1.6,0.0,2.0,1.0
1.398,0.196,239.56,5.8,0.0,1.0,0.0
0.374,0.092,241.77,1.6,0.0,0.0,0.0
0.376,0.0,243.85,1.8,0.0,0.0,1.0
0.2,0.0,240.4,1.0,0.0,0.0,0.0
1.298,0.0,243.92,5.2,0.0,0.0,18.0
1.528,0.29,237.74,6.4,0.0,2.0,18.0
1.542,0.182,234.84,6.6,0.0,0.0,17.0
0.218,0.0,241.52,1.0,0.0,0.0,0.0
0.322,0.122,245.77,1.4,0.0,1.0,1.0
1.954,0.106,237.65,8.2,1.0,0.0,18.0
0.156,0.0,240.91,0.6,0.0,0.0,1.0
2.966,0.078,232.4,15.4,0.0,0.0,16.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
1.508,0.19,240.85,6.2,0.0,1.0,18.0
0.274,0.0,243.58,1.2,0.0,0.0,0.0
3.04,0.208,229.89,13.2,0.0,0.0,16.0
0.452,0.258,241.73,2.0,0.0,1.0,1.0
1.804,0.15,247.38,7.2,0.0,0.0,19.0
0.26,0.276,241.59,1.4,0.0,2.0,1.0
0.34,0.116,241.97,1.4,0.0,0.0,1.0
0.362,0.122,243.9,1.6,0.0,0.0,0.0
0.436,0.0,244.67,1.8,0.0,0.0,1.0
0.594,0.192,244.25,2.8,0.0,0.0,0.0
0.358,0.234,242.51,1.8,0.0,1.0,0.0
1.934,0.656,244.6,9.6,24.0,2.0,1.0
0.414,0.232,238.95,2.0,0.0,2.0,0.0
0.204,0.046,241.23,1.0,0.0,0.0,0.0
0.294,0.184,235.81,1.4,0.0,0.0,0.0
0.082,0.0,242.53,0.2,0.0,0.0,1.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
0.704,0.26,242.66,3.0,0.0,1.0,0.0
0.368,0.094,240.46,1.6,0.0,0.0,1.0
0.258,0.096,243.44,1.0,0.0,0.0,1.0
4.878,0.2,235.09,21.0,0.0,1.0,17.0
1.214,0.0,240.36,5.0,0.0,0.0,19.0
1.444,0.146,241.3,6.0,1.0,1.0,1.0
5.49,0.0,230.05,23.8,0.0,34.0,16.0
0.17,0.14,240.79,0.8,0.0,1.0,1.0
