Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type
6.88,4.07,0.0,86.07,100.0,Weekday,Tuesday,Light_Load
3.6,3.64,0.0,70.32,100.0,Weekday,Tuesday,Light_Load
59.72,18.04,0.0,95.73,100.0,Weekday,Monday,Maximum_Load
2.66,0.0,11.74,100.0,22.1,Weekday,Wednesday,Light_Load
2.92,4.25,0.0,56.63,100.0,Weekend,Saturday,Light_Load
2.74,4.97,0.0,48.28,100.0,Weekday,Monday,Light_Load
106.45,44.46,0.0,92.28,100.0,Weekday,Tuesday,Maximum_Load
52.45,23.04,3.82,91.56,99.74,Weekday,Tuesday,Medium_Load
2.7,5.26,0.0,45.67,100.0,Weekday,Wednesday,Light_Load
7.13,0.0,21.28,100.0,31.77,Weekday,Wednesday,Medium_Load
96.34,39.85,0.0,92.41,100.0,Weekday,Monday,Maximum_Load
62.21,28.98,0.0,90.65,100.0,Weekday,Wednesday,Maximum_Load
15.95,0.0,9.4,100.0,86.15,Weekday,Tuesday,Maximum_Load
3.71,3.2,0.04,75.72,99.99,Weekday,Wednesday,Light_Load
78.26,37.94,0.0,89.98,100.0,Weekend,Sunday,Maximum_Load
2.7,4.82,0.0,48.87,100.0,Weekday,Wednesday,Light_Load
3.42,3.64,0.0,68.47,100.0,Weekday,Friday,Light_Load
3.31,4.57,0.0,58.66,100.0,Weekday,Thursday,Light_Load
81.86,65.52,0.0,78.07,100.0,Weekday,Tuesday,Light_Load
39.06,37.98,0.0,71.69,100.0,Weekday,Friday,Light_Load
50.69,36.72,0.0,80.98,100.0,Weekday,Monday,Maximum_Load
43.99,20.52,0.0,90.63,100.0,Weekday,Thursday,Maximum_Load
3.71,0.0,13.82,100.0,25.93,Weekend,Saturday,Light_Load
3.74,0.0,22.32,100.0,16.53,Weekday,Thursday,Light_Load
102.2,46.69,0.0,90.96,100.0,Weekday,Tuesday,Maximum_Load
65.2,34.34,0.0,88.48,100.0,Weekday,Friday,Maximum_Load
88.56,46.84,0.0,88.4,100.0,Weekday,Tuesday,Medium_Load
